"Step","lunar-spaceship-8 - time","lunar-spaceship-8 - time__MIN","lunar-spaceship-8 - time__MAX"
"0","2.7769393920898438","2.7769393920898438","2.7769393920898438"
"1","3.4573516845703125","3.4573516845703125","3.4573516845703125"
"2","4.133004426956177","4.133004426956177","4.133004426956177"
"3","4.806361198425293","4.806361198425293","4.806361198425293"
"4","5.517801284790039","5.517801284790039","5.517801284790039"
"5","6.172589063644409","6.172589063644409","6.172589063644409"
"6","6.85588812828064","6.85588812828064","6.85588812828064"
"7","7.52899432182312","7.52899432182312","7.52899432182312"
"8","8.191277742385864","8.191277742385864","8.191277742385864"
"9","8.858235597610474","8.858235597610474","8.858235597610474"
"10","9.496678590774536","9.496678590774536","9.496678590774536"
"11","10.142948865890503","10.142948865890503","10.142948865890503"
"12","10.829127073287964","10.829127073287964","10.829127073287964"
"13","11.540453433990479","11.540453433990479","11.540453433990479"
"14","12.214505434036255","12.214505434036255","12.214505434036255"
"15","12.867536783218384","12.867536783218384","12.867536783218384"
"16","13.69862985610962","13.69862985610962","13.69862985610962"
"17","14.319177389144897","14.319177389144897","14.319177389144897"
"18","14.994918584823608","14.994918584823608","14.994918584823608"
"19","15.66990351676941","15.66990351676941","15.66990351676941"
"20","16.386887550354004","16.386887550354004","16.386887550354004"
"21","17.07634449005127","17.07634449005127","17.07634449005127"
"22","17.753267288208008","17.753267288208008","17.753267288208008"
"23","18.390137195587158","18.390137195587158","18.390137195587158"
"24","19.06053924560547","19.06053924560547","19.06053924560547"
"25","19.710416316986084","19.710416316986084","19.710416316986084"
"26","20.39447259902954","20.39447259902954","20.39447259902954"
"27","21.051472902297974","21.051472902297974","21.051472902297974"
"28","21.694822311401367","21.694822311401367","21.694822311401367"
"29","22.401591777801514","22.401591777801514","22.401591777801514"
"30","23.092991590499878","23.092991590499878","23.092991590499878"
"31","23.734868049621582","23.734868049621582","23.734868049621582"
"32","24.389325380325317","24.389325380325317","24.389325380325317"
"33","25.05196261405945","25.05196261405945","25.05196261405945"
"34","25.841934204101562","25.841934204101562","25.841934204101562"
"35","26.539983987808228","26.539983987808228","26.539983987808228"
"36","27.192708015441895","27.192708015441895","27.192708015441895"
"37","27.88626480102539","27.88626480102539","27.88626480102539"
"38","28.54396891593933","28.54396891593933","28.54396891593933"
"39","29.211149215698242","29.211149215698242","29.211149215698242"
"40","29.89249610900879","29.89249610900879","29.89249610900879"
"41","30.506094932556152","30.506094932556152","30.506094932556152"
"42","31.17186975479126","31.17186975479126","31.17186975479126"
"43","31.813159227371216","31.813159227371216","31.813159227371216"
"44","32.48431396484375","32.48431396484375","32.48431396484375"
"45","33.18946552276611","33.18946552276611","33.18946552276611"
"46","33.84088444709778","33.84088444709778","33.84088444709778"
"47","34.53257131576538","34.53257131576538","34.53257131576538"
"48","35.18974256515503","35.18974256515503","35.18974256515503"
"49","35.9124538898468","35.9124538898468","35.9124538898468"
"50","36.556496143341064","36.556496143341064","36.556496143341064"
"51","37.233956813812256","37.233956813812256","37.233956813812256"
"52","38.109373807907104","38.109373807907104","38.109373807907104"
"53","38.79248666763306","38.79248666763306","38.79248666763306"
"54","39.43820810317993","39.43820810317993","39.43820810317993"
"55","40.13225340843201","40.13225340843201","40.13225340843201"
"56","40.829699993133545","40.829699993133545","40.829699993133545"
"57","41.52456593513489","41.52456593513489","41.52456593513489"
"58","42.21008348464966","42.21008348464966","42.21008348464966"
"59","42.90353488922119","42.90353488922119","42.90353488922119"
"60","43.58677697181702","43.58677697181702","43.58677697181702"
"61","44.270268201828","44.270268201828","44.270268201828"
"62","44.92785906791687","44.92785906791687","44.92785906791687"
"63","45.57088661193848","45.57088661193848","45.57088661193848"
"64","46.21759343147278","46.21759343147278","46.21759343147278"
"65","46.872896909713745","46.872896909713745","46.872896909713745"
"66","47.55204653739929","47.55204653739929","47.55204653739929"
"67","48.22518181800842","48.22518181800842","48.22518181800842"
"68","48.87538480758667","48.87538480758667","48.87538480758667"
"69","49.54424738883972","49.54424738883972","49.54424738883972"
"70","50.22070598602295","50.22070598602295","50.22070598602295"
"71","51.04938983917236","51.04938983917236","51.04938983917236"
"72","51.73029398918152","51.73029398918152","51.73029398918152"
"73","52.35914850234985","52.35914850234985","52.35914850234985"
"74","52.98960757255554","52.98960757255554","52.98960757255554"
"75","53.67318272590637","53.67318272590637","53.67318272590637"
"76","54.331422090530396","54.331422090530396","54.331422090530396"
"77","55.016093015670776","55.016093015670776","55.016093015670776"
"78","55.7014057636261","55.7014057636261","55.7014057636261"
"79","56.38986015319824","56.38986015319824","56.38986015319824"
"80","57.066118001937866","57.066118001937866","57.066118001937866"
"81","57.72438716888428","57.72438716888428","57.72438716888428"
"82","58.36822032928467","58.36822032928467","58.36822032928467"
"83","59.06745743751526","59.06745743751526","59.06745743751526"
"84","59.74398493766785","59.74398493766785","59.74398493766785"
"85","60.433643102645874","60.433643102645874","60.433643102645874"
"86","61.09025979042053","61.09025979042053","61.09025979042053"
"87","61.770183086395264","61.770183086395264","61.770183086395264"
"88","62.428478956222534","62.428478956222534","62.428478956222534"
"89","63.20428228378296","63.20428228378296","63.20428228378296"
"90","63.84819960594177","63.84819960594177","63.84819960594177"
"91","64.53962874412537","64.53962874412537","64.53962874412537"
"92","65.20784854888916","65.20784854888916","65.20784854888916"
"93","65.87043523788452","65.87043523788452","65.87043523788452"
"94","66.54215097427368","66.54215097427368","66.54215097427368"
"95","67.23685932159424","67.23685932159424","67.23685932159424"
"96","67.90580797195435","67.90580797195435","67.90580797195435"
"97","68.55619812011719","68.55619812011719","68.55619812011719"
"98","69.18758034706116","69.18758034706116","69.18758034706116"
"99","69.84002327919006","69.84002327919006","69.84002327919006"
