acc
0.11
0.125
0.113
0.117
0.146
0.136
0.151
0.151
0.162
0.159
0.181
0.19
0.21
0.222
0.226
0.226
0.2
0.206
0.222
0.267
0.241
0.248
0.253
0.255
0.202
0.187
0.219
0.245
0.268
0.258
0.275
0.293
0.287
0.264
0.247
0.211
0.252
0.296
0.325
0.369
0.357
0.344
0.349
0.311
0.352
0.346
0.347
0.319
0.384
0.431
0.484
0.458
0.479
0.44
0.469
0.445
0.514
0.58
0.599
0.663
0.702
0.701
0.637
0.634
0.536
0.478
0.271
0.265
0.411
0.553
0.609
0.641
0.651
0.664
0.722
0.744
0.749
0.776
0.788
0.812
0.852
0.852
0.84
0.87
0.906
0.926
0.96
0.987
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
