acc
0.112
0.12
0.124
0.096
0.092
0.104
0.1
0.092
0.104
0.1
0.128
0.12
0.14
0.18
0.172
0.228
0.188
0.172
0.188
0.244
0.24
0.196
0.184
0.276
0.244
0.228
0.176
0.164
0.32
0.352
0.256
0.192
0.204
0.332
0.368
0.36
0.38
0.3
0.296
0.296
0.4
0.32
0.28
0.376
0.392
0.52
0.524
0.56
0.436
0.42
0.328
0.54
0.644
0.608
0.58
0.404
0.384
0.608
0.688
0.692
0.612
0.564
0.456
0.528
0.664
0.664
0.624
0.52
0.476
0.476
0.596
0.74
0.872
0.872
0.98
0.992
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
