"Step","devout-grass-22 - training loss","devout-grass-22 - training loss__MIN","devout-grass-22 - training loss__MAX"
"1","4.689437627792358","4.689437627792358","4.689437627792358"
"4","4.632704973220825","4.632704973220825","4.632704973220825"
"7","4.587737083435059","4.587737083435059","4.587737083435059"
"10","4.583456754684448","4.583456754684448","4.583456754684448"
"13","4.651982069015503","4.651982069015503","4.651982069015503"
"16","4.5376386642456055","4.5376386642456055","4.5376386642456055"
"19","4.625765562057495","4.625765562057495","4.625765562057495"
"22","4.51038122177124","4.51038122177124","4.51038122177124"
"25","4.581047296524048","4.581047296524048","4.581047296524048"
"28","4.46285343170166","4.46285343170166","4.46285343170166"
"31","4.56022047996521","4.56022047996521","4.56022047996521"
"34","4.420223951339722","4.420223951339722","4.420223951339722"
"37","4.509568214416504","4.509568214416504","4.509568214416504"
"40","4.362612724304199","4.362612724304199","4.362612724304199"
"43","4.408312559127808","4.408312559127808","4.408312559127808"
"46","4.412043333053589","4.412043333053589","4.412043333053589"
"49","4.385995388031006","4.385995388031006","4.385995388031006"
"52","4.152336359024048","4.152336359024048","4.152336359024048"
"55","4.215752363204956","4.215752363204956","4.215752363204956"
"58","4.209041118621826","4.209041118621826","4.209041118621826"
"61","4.219938278198242","4.219938278198242","4.219938278198242"
"64","4.265633821487427","4.265633821487427","4.265633821487427"
"67","4.3237903118133545","4.3237903118133545","4.3237903118133545"
"70","4.288634300231934","4.288634300231934","4.288634300231934"
"73","4.341588258743286","4.341588258743286","4.341588258743286"
"76","4.092010736465454","4.092010736465454","4.092010736465454"
"79","4.0459887981414795","4.0459887981414795","4.0459887981414795"
"82","3.8198025226593018","3.8198025226593018","3.8198025226593018"
"85","3.9378589391708374","3.9378589391708374","3.9378589391708374"
"88","3.8336565494537354","3.8336565494537354","3.8336565494537354"
"91","3.9087194204330444","3.9087194204330444","3.9087194204330444"
"94","3.801543116569519","3.801543116569519","3.801543116569519"
"97","4.067606687545776","4.067606687545776","4.067606687545776"
"100","4.160393714904785","4.160393714904785","4.160393714904785"
"103","4.075319051742554","4.075319051742554","4.075319051742554"
"106","3.808328866958618","3.808328866958618","3.808328866958618"
"109","3.675337791442871","3.675337791442871","3.675337791442871"
"112","3.809812903404236","3.809812903404236","3.809812903404236"
"115","3.7960838079452515","3.7960838079452515","3.7960838079452515"
"118","3.5945860147476196","3.5945860147476196","3.5945860147476196"
"121","3.5109692811965942","3.5109692811965942","3.5109692811965942"
"124","3.4350212812423706","3.4350212812423706","3.4350212812423706"
"127","3.418667435646057","3.418667435646057","3.418667435646057"
"130","3.1980559825897217","3.1980559825897217","3.1980559825897217"
"133","3.0457218885421753","3.0457218885421753","3.0457218885421753"
"136","3.1166759729385376","3.1166759729385376","3.1166759729385376"
"139","3.2379961013793945","3.2379961013793945","3.2379961013793945"
"142","3.316193103790283","3.316193103790283","3.316193103790283"
"145","3.3108201026916504","3.3108201026916504","3.3108201026916504"
"148","2.9394086599349976","2.9394086599349976","2.9394086599349976"
"151","2.7515594959259033","2.7515594959259033","2.7515594959259033"
"154","2.544069290161133","2.544069290161133","2.544069290161133"
"157","2.591906428337097","2.591906428337097","2.591906428337097"
"160","2.366031050682068","2.366031050682068","2.366031050682068"
"163","2.217499256134033","2.217499256134033","2.217499256134033"
"166","2.2112542390823364","2.2112542390823364","2.2112542390823364"
"169","2.2089362144470215","2.2089362144470215","2.2089362144470215"
"172","2.232446551322937","2.232446551322937","2.232446551322937"
"175","2.3568732738494873","2.3568732738494873","2.3568732738494873"
"178","2.940656542778015","2.940656542778015","2.940656542778015"
"181","2.545494794845581","2.545494794845581","2.545494794845581"
"184","2.1860415935516357","2.1860415935516357","2.1860415935516357"
"187","1.7097612619400024","1.7097612619400024","1.7097612619400024"
"190","1.4090340733528137","1.4090340733528137","1.4090340733528137"
"193","1.297177791595459","1.297177791595459","1.297177791595459"
"196","1.1035032868385315","1.1035032868385315","1.1035032868385315"
"199","1.2156592011451721","1.2156592011451721","1.2156592011451721"
"202","1.1760865449905396","1.1760865449905396","1.1760865449905396"
"205","1.1762742400169373","1.1762742400169373","1.1762742400169373"
"208","1.3311365246772766","1.3311365246772766","1.3311365246772766"
"211","1.9188029766082764","1.9188029766082764","1.9188029766082764"
"214","2.4099384546279907","2.4099384546279907","2.4099384546279907"
"217","2.160446047782898","2.160446047782898","2.160446047782898"
