"Step","devout-grass-22 - training loss","devout-grass-22 - training loss__MIN","devout-grass-22 - training loss__MAX"
"220","1.7317553758621216","1.7317553758621216","1.7317553758621216"
"223","1.42669677734375","1.42669677734375","1.42669677734375"
"226","1.602011799812317","1.602011799812317","1.602011799812317"
"229","1.0670679807662964","1.0670679807662964","1.0670679807662964"
"232","0.8137305378913879","0.8137305378913879","0.8137305378913879"
"235","0.6739900410175323","0.6739900410175323","0.6739900410175323"
"238","0.5546610653400421","0.5546610653400421","0.5546610653400421"
"241","0.3365866094827652","0.3365866094827652","0.3365866094827652"
"244","0.24057982116937637","0.24057982116937637","0.24057982116937637"
"247","0.190736286342144","0.190736286342144","0.190736286342144"
"250","0.1687539890408516","0.1687539890408516","0.1687539890408516"
"253","0.12393843755126","0.12393843755126","0.12393843755126"
"256","0.08074023574590683","0.08074023574590683","0.08074023574590683"
"259","0.06295431777834892","0.06295431777834892","0.06295431777834892"
"262","0.056283099576830864","0.056283099576830864","0.056283099576830864"
"265","0.054591817781329155","0.054591817781329155","0.054591817781329155"
"268","0.04561430960893631","0.04561430960893631","0.04561430960893631"
"271","0.04029054567217827","0.04029054567217827","0.04029054567217827"
"274","0.03836233541369438","0.03836233541369438","0.03836233541369438"
"277","0.03470283001661301","0.03470283001661301","0.03470283001661301"
"280","0.03438362665474415","0.03438362665474415","0.03438362665474415"
"283","0.03346762992441654","0.03346762992441654","0.03346762992441654"
"286","0.030615304596722126","0.030615304596722126","0.030615304596722126"
"289","0.030555994249880314","0.030555994249880314","0.030555994249880314"
"292","0.026059878058731556","0.026059878058731556","0.026059878058731556"
"295","0.02863079123198986","0.02863079123198986","0.02863079123198986"
"298","0.027096607722342014","0.027096607722342014","0.027096607722342014"
