acc
11.8
12.2
14.9
14.6
17.1
18.7
20.1
21.3
23.1
23.3
25.1
22.9
20.9
22.1
25.0
27.1
27.4
30.4
29.5
31.2
30.9
35.3
33.9
35.6
34.7
35.1
33.0
30.6
36.9
40.1
45.1
41.4
38.1
46.2
51.2
48.7
47.3
44.6
47.0
38.9
52.1
50.4
47.2
49.7
57.9
58.0
57.6
56.1
61.5
58.5
58.4
65.7
66.7
60.5
55.6
58.9
51.8
47.9
71.4
78.3
72.6
79.6
75.3
80.1
85.9
84.7
80.6
66.4
69.7
70.1
76.2
80.5
86.9
94.2
98.6
99.3
99.9
99.9
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
