acc
0.096
0.148
0.088
0.08
0.12
0.104
0.14
0.144
0.116
0.14
0.128
0.148
0.164
0.112
0.14
0.144
0.188
0.232
0.14
0.16
0.268
0.28
0.232
0.184
0.272
0.228
0.248
0.208
0.248
0.38
0.36
0.32
0.212
0.352
0.408
0.436
0.452
0.328
0.228
0.276
0.5
0.508
0.52
0.496
0.464
0.432
0.568
0.592
0.592
0.616
0.604
0.588
0.548
0.468
0.468
0.576
0.592
0.604
0.58
0.652
0.664
0.744
0.812
0.816
0.916
0.936
0.964
0.996
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
