acc
0.127
0.105
0.092
0.109
0.09
0.101
0.104
0.091
0.163
0.179
0.2
0.189
0.225
0.211
0.102
0.15
0.202
0.229
0.283
0.26
0.207
0.101
0.129
0.147
0.213
0.256
0.268
0.11
0.134
0.185
0.239
0.264
0.293
0.306
0.18
0.142
0.218
0.281
0.324
0.331
0.298
0.214
0.209
0.289
0.331
0.322
0.327
0.336
0.348
0.385
0.436
0.392
0.277
0.213
0.315
0.496
0.559
0.54
0.376
0.269
0.268
0.356
0.346
0.454
0.45
0.534
0.491
0.515
0.54
0.55
0.531
0.476
0.458
0.495
0.508
0.482
0.514
0.496
0.602
0.649
0.676
0.685
0.705
0.718
0.757
0.807
0.858
0.767
0.543
0.392
0.394
0.568
0.748
0.901
0.917
0.927
0.934
0.897
0.804
0.591
0.541
0.667
0.845
0.921
0.96
0.993
0.997
0.996
0.999
1.0
1.0
1.0
1.0
1.0
1.0
0.999
0.996
0.991
0.998
1.0
1.0
0.997
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.995
0.993
1.0
1.0
1.0
0.996
1.0
1.0
1.0
0.996
1.0
0.999
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.995
0.997
1.0
1.0
1.0
1.0
0.997
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.999
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.999
1.0
